id;numero_registro;entidad;titulo;descripcion;autor;fecha_incripcion
1;72725;alianza Singapur Videojuegos;migración Hormigon Credit;Omán recontextualize pixel;program Ethiopian Berkshire;2022-10-12
2;31822;Métricas;user-centric;Mobilidad Bebes hard;Taiwan;2022-10-12
3;87018;regional payment Calidad;Lado Bicicleta Violeta;neutral;end-to-end Ingeniero;2022-10-12
4;84922;sexy;synergize open-source;digital Metal;Ensalada e-services;2022-10-12
5;19356;Bélgica maximizada;Dollar;Configurable;Global Electrónica;2022-10-12
6;66039;hacking world-class Glorieta;withdrawal 1080p;open-source;hacking Granito;2022-10-12
7;53179;Toallas;y Morado open-source;invoice;Negro;2022-10-12
8;67776;RAM arquitectura port;hack Boliviano AGP;Videojuegos Rincón;asimétrica;2022-10-12
9;7166;innovadora Sabroso Paraguay;Marca;initiatives;Vasco;2022-10-12
10;75036;de;Ferrocarril;efficient Madera;Account Pelota AGP;2022-10-12
